Country,Decision,Team 1,Team 2,Winner,Ground,team composition,weather_status,strike_rate,Margin_Wickets,Margin_Runs
Pakistan,bat,Sri Lanka,Bangladesh,Sri Lanka,Colombo (RPS),"[3, 4, 1, 2, 7, 4, 4, 7, 10, 10, 10]",3.0,"[93.44, 82.55, 88.75, 85.48, 87.85, 106.59, 131.7, 34.3, 85.75, 29.62, 18.61]",0,122
Sri Lanka,bat,Sri Lanka,Bangladesh,Sri Lanka,Colombo (RPS),"[3, 3, 2, 2, 7, 1, 9, 7, 10, 10, 10]",1.0,"[92.91, 79.56, 92.88, 86.6, 82.9, 91.47, 108.55, 111.04, 69.78, 36.11, 32.28]",7,0
Bangladesh,bat,Sri Lanka,Bangladesh,Sri Lanka,Colombo (RPS),"[3, 2, 3, 2, 7, 1, 7, 9, 7, 10, 10]",3.0,"[78.52, 97.48, 77.52, 79.74, 76.92, 91.23, 82.76, 78.34, 25.96, 26.26, 36.12]",0,91
Sri Lanka,bat,India,Sri Lanka,India,Leeds,"[3, 2, 3, 2, 7, 1, 7, 7, 10, 10, 10]",1.0,"[92.91, 79.56, 92.88, 86.6, 82.9, 72.27, 32.8, 78.59, 28.87, 37.12, 32.28]",7,0
Sri Lanka,bat,Sri Lanka,West Indies,Sri Lanka,Chester-le-Street,"[3, 2, 3, 2, 7, 7, 7, 9, 7, 10, 10]",1.0,"[79.56, 92.88, 92.91, 86.6, 82.9, 72.27, 78.59, 32.8, 137.63, 36.11, 28.87]",0,23
West Indies,field,South Africa,Sri Lanka,South Africa,Chester-le-Street,"[3, 2, 3, 2, 7, 7, 7, 9, 7, 10, 10]",2.0,"[79.56, 92.88, 92.91, 86.6, 82.9, 72.27, 137.63, 78.59, 31.44, 36.11, 28.87]",9,0
South Africa,field,England,Sri Lanka,Sri Lanka,Leeds,"[3, 1, 1, 4, 8, 1, 2, 10, 10, 10, 10]",2.0,"[79.56, 92.88, 92.91, 86.6, 82.9, 78.59, 118.96, 32.8, 137.63, 32.42, 28.87]",0,20
Sri Lanka,bat,Australia,Sri Lanka,Australia,The Oval,"[3, 2, 1, 2, 7, 7, 9, 7, 10, 10, 10]",3.0,"[79.56, 92.88, 92.91, 86.6, 82.9, 118.96, 78.59, 32.8, 137.63, 28.87, 37.12]",0,87
Sri Lanka,field,Afghanistan,Sri Lanka,Sri Lanka,Cardiff,"[1, 3, 2, 2, 7, 7, 7, 9, 7, 10, 10]",3.0,"[97.26, 87.73, 84.09, 87.41, 126.91, 81.41, 88.4, 28.66, 22.96, 24.61, 23.53]",0,34
Afghanistan,field,New Zealand,Sri Lanka,New Zealand,Cardiff,"[3, 3, 2, 9, 7, 1, 7, 7, 7, 10, 10]",3.0,"[79.56, 92.88, 72.27, 86.6, 82.9, 78.59, 32.8, 137.63, 32.42, 28.87, 37.12]",10,0
New Zealand,field,Scotland,Sri Lanka,Sri Lanka,Edinburgh,"[3, 5, 1, 2, 7, 4, 9, 7, 7, 7, 10]",3.0,"[72.27, 79.56, 92.88, 86.6, 78.59, 82.9, 118.96, 32.8, 137.63, 32.42, 28.87]",0,35
